feature,slice_value,support,lens_error_rate
analysis.style_tags,fast|static_shot|medium_shot|high_contrast|documentary_style|warm_mood|rule_of_thirds|narrative_style|warm_tone,24,0.125
analysis.style_tags,fast|static_shot|medium_shot|medium_contrast|documentary_style|warm_mood|rule_of_thirds|narrative_style|warm_tone,8,0.125
analysis.style_tags,high_contrast|narrative_style|cool_tone|slow|rule_of_thirds|medium_shot|tilt_vertical|documentary_style,1,0.0
analysis.style_tags,high_contrast|narrative_style|pan_horizontal|rule_of_thirds|medium_shot|documentary_style|fast|warm_mood|warm_tone,1,0.0
analysis.style_tags,high_contrast|narrative_style|pan_horizontal|rule_of_thirds|medium_shot|documentary_style|very_fast|warm_mood|warm_tone,1,0.0
analysis.style_tags,high_contrast|narrative_style|slow|dolly_in|rule_of_thirds|medium_shot|documentary_style|warm_mood|warm_tone,3,0.0
analysis.style_tags,high_contrast|narrative_style|slow|pan_horizontal|rule_of_thirds|medium_shot|documentary_style|warm_mood|warm_tone,1,0.0
analysis.style_tags,high_contrast|narrative_style|slow|rule_of_thirds|medium_shot|tilt_vertical|documentary_style|warm_mood|warm_tone,1,0.0
analysis.style_tags,high_contrast|narrative_style|static_shot|cool_tone|rule_of_thirds|medium_shot|documentary_style|fast,1,0.0
analysis.style_tags,high_contrast|narrative_style|static_shot|cool_tone|rule_of_thirds|medium_shot|documentary_style|very_fast,3,0.3333333333333333
analysis.style_tags,high_contrast|narrative_style|static_shot|cool_tone|slow|rule_of_thirds|medium_shot|documentary_style,3,0.0
analysis.style_tags,high_contrast|narrative_style|static_shot|rule_of_thirds|medium_shot|documentary_style|moderate|warm_mood|warm_tone,3,0.0
analysis.style_tags,high_contrast|narrative_style|static_shot|rule_of_thirds|medium_shot|documentary_style|very_fast|warm_mood|warm_tone,5,0.2
analysis.style_tags,high_contrast|narrative_style|static_shot|slow|rule_of_thirds|medium_shot|documentary_style|warm_mood|warm_tone,6,0.16666666666666666
analysis.style_tags,medium_shot|high_contrast|documentary_style|warm_mood|slow|rule_of_thirds|narrative_style|warm_tone|dolly_out,6,0.16666666666666666
analysis.style_tags,medium_shot|high_contrast|documentary_style|warm_mood|tilt_vertical|slow|rule_of_thirds|narrative_style|warm_tone,19,0.10526315789473684
analysis.style_tags,medium_shot|high_contrast|moderate|documentary_style|tilt_vertical|warm_mood|rule_of_thirds|narrative_style|warm_tone,1,1.0
analysis.style_tags,medium_shot|medium_contrast|documentary_style|warm_mood|slow|rule_of_thirds|narrative_style|warm_tone|dolly_out,3,0.0
analysis.style_tags,medium_shot|medium_contrast|documentary_style|warm_mood|tilt_vertical|slow|rule_of_thirds|narrative_style|warm_tone,6,0.0
analysis.style_tags,medium_shot|medium_contrast|moderate|documentary_style|tilt_vertical|warm_mood|rule_of_thirds|narrative_style|warm_tone,1,0.0
analysis.style_tags,narrative_style|cool_tone|dolly_in|rule_of_thirds|medium_shot|documentary_style|medium_contrast|very_fast,1,1.0
analysis.style_tags,narrative_style|cool_tone|rule_of_thirds|medium_shot|tilt_vertical|documentary_style|medium_contrast|moderate,1,0.0
analysis.style_tags,narrative_style|cool_tone|slow|dolly_in|rule_of_thirds|medium_shot|documentary_style|medium_contrast,1,0.0
analysis.style_tags,narrative_style|cool_tone|slow|pan_horizontal|rule_of_thirds|medium_shot|documentary_style|medium_contrast,1,1.0
analysis.style_tags,narrative_style|cool_tone|slow|pan_horizontal|soft_low_contrast|rule_of_thirds|medium_shot|documentary_style,1,0.0
analysis.style_tags,narrative_style|pan_horizontal|rule_of_thirds|medium_shot|documentary_style|medium_contrast|moderate|warm_mood|warm_tone,1,0.0
analysis.style_tags,narrative_style|slow|dolly_in|rule_of_thirds|medium_shot|documentary_style|medium_contrast|warm_mood|warm_tone,1,1.0
analysis.style_tags,narrative_style|slow|pan_horizontal|rule_of_thirds|medium_shot|documentary_style|medium_contrast|warm_mood|warm_tone,3,0.0
analysis.style_tags,narrative_style|slow|soft_low_contrast|rule_of_thirds|medium_shot|tilt_vertical|documentary_style|warm_mood|warm_tone,1,0.0
analysis.style_tags,narrative_style|static_shot|cool_tone|rule_of_thirds|medium_shot|documentary_style|medium_contrast|moderate,3,0.0
analysis.style_tags,narrative_style|static_shot|cool_tone|slow|rule_of_thirds|medium_shot|documentary_style|medium_contrast,5,0.0
analysis.style_tags,narrative_style|static_shot|rule_of_thirds|medium_shot|documentary_style|fast|medium_contrast|warm_mood|warm_tone,2,0.5
analysis.style_tags,narrative_style|static_shot|rule_of_thirds|medium_shot|documentary_style|medium_contrast|moderate|warm_mood|warm_tone,2,0.5
analysis.style_tags,narrative_style|static_shot|rule_of_thirds|medium_shot|documentary_style|medium_contrast|very_fast|warm_mood|warm_tone,1,0.0
analysis.style_tags,narrative_style|static_shot|slow|rule_of_thirds|medium_shot|documentary_style|medium_contrast|warm_mood|warm_tone,8,0.25
analysis.style_tags,pan_horizontal|cool_tone|fast|medium_shot|high_contrast|documentary_style|rule_of_thirds|narrative_style,2,0.5
analysis.style_tags,pan_horizontal|cool_tone|medium_shot|high_contrast|documentary_style|slow|rule_of_thirds|narrative_style,5,0.0
analysis.style_tags,pan_horizontal|cool_tone|medium_shot|high_contrast|moderate|documentary_style|rule_of_thirds|narrative_style,1,0.0
analysis.style_tags,pan_horizontal|cool_tone|medium_shot|medium_contrast|moderate|documentary_style|rule_of_thirds|narrative_style,3,0.6666666666666666
analysis.style_tags,pan_horizontal|cool_tone|medium_shot|moderate|documentary_style|soft_low_contrast|rule_of_thirds|narrative_style,1,1.0
analysis.style_tags,pan_horizontal|cool_tone|very_fast|medium_shot|medium_contrast|documentary_style|rule_of_thirds|narrative_style,1,0.0
analysis.style_tags,pan_horizontal|medium_shot|documentary_style|warm_mood|slow|soft_low_contrast|rule_of_thirds|narrative_style|warm_tone,2,0.5
analysis.style_tags,pan_horizontal|medium_shot|high_contrast|documentary_style|warm_mood|slow|rule_of_thirds|narrative_style|warm_tone,10,0.4
analysis.style_tags,pan_horizontal|medium_shot|high_contrast|moderate|documentary_style|warm_mood|rule_of_thirds|narrative_style|warm_tone,2,0.0
analysis.style_tags,pan_horizontal|medium_shot|medium_contrast|documentary_style|warm_mood|slow|rule_of_thirds|narrative_style|warm_tone,4,0.0
analysis.style_tags,pan_horizontal|medium_shot|medium_contrast|moderate|documentary_style|warm_mood|rule_of_thirds|narrative_style|warm_tone,1,0.0
analysis.style_tags,pan_horizontal|medium_shot|moderate|documentary_style|warm_mood|soft_low_contrast|rule_of_thirds|narrative_style|warm_tone,1,0.0
analysis.style_tags,pan_horizontal|very_fast|medium_shot|high_contrast|documentary_style|warm_mood|rule_of_thirds|narrative_style|warm_tone,3,0.3333333333333333
analysis.style_tags,pan_horizontal|very_fast|medium_shot|medium_contrast|documentary_style|warm_mood|rule_of_thirds|narrative_style|warm_tone,3,0.3333333333333333
analysis.style_tags,slow|cool_tone|narrative_style|rule_of_thirds|documentary_style|dolly_in|medium_contrast|medium_shot,1,0.0
analysis.style_tags,slow|narrative_style|rule_of_thirds|warm_tone|documentary_style|warm_mood|high_contrast|dolly_out|medium_shot,1,1.0
analysis.style_tags,slow|narrative_style|rule_of_thirds|warm_tone|documentary_style|warm_mood|high_contrast|medium_shot,12,0.16666666666666666
analysis.style_tags,slow|narrative_style|rule_of_thirds|warm_tone|documentary_style|warm_mood|static_shot|high_contrast|medium_shot,1,0.0
analysis.style_tags,static_shot|long_shot|cool_tone|soft_low_contrast|documentary_style|warm_mood,1,0.0
analysis.style_tags,static_shot|medium_shot|documentary_style|warm_mood|slow|soft_low_contrast|rule_of_thirds|narrative_style|warm_tone,3,0.0
analysis.style_tags,static_shot|medium_shot|high_contrast|documentary_style|warm_mood|slow|rule_of_thirds|narrative_style|warm_tone,94,0.1595744680851064
analysis.style_tags,static_shot|medium_shot|high_contrast|moderate|documentary_style|warm_mood|rule_of_thirds|narrative_style|warm_tone,17,0.23529411764705882
analysis.style_tags,static_shot|medium_shot|medium_contrast|documentary_style|warm_mood|slow|rule_of_thirds|narrative_style|warm_tone,29,0.20689655172413793
analysis.style_tags,static_shot|medium_shot|medium_contrast|moderate|documentary_style|warm_mood|rule_of_thirds|narrative_style|warm_tone,13,0.15384615384615385
analysis.style_tags,static_shot|medium_shot|moderate|documentary_style|warm_mood|soft_low_contrast|rule_of_thirds|narrative_style|warm_tone,2,0.0
analysis.style_tags,static_shot|very_fast|medium_shot|documentary_style|warm_mood|soft_low_contrast|rule_of_thirds|narrative_style|warm_tone,1,0.0
analysis.style_tags,static_shot|very_fast|medium_shot|high_contrast|documentary_style|warm_mood|rule_of_thirds|narrative_style|warm_tone,18,0.0
analysis.style_tags,static_shot|very_fast|medium_shot|medium_contrast|documentary_style|warm_mood|rule_of_thirds|narrative_style|warm_tone,5,0.0
analysis.style_tags,static_shot|warm_tone|high_contrast|medium_shot|rule_of_thirds,1,0.0
analysis.style_tags,very_fast|medium_shot|high_contrast|documentary_style|warm_mood|rule_of_thirds|narrative_style|warm_tone|dolly_out,1,0.0
analysis.style_tags,very_fast|medium_shot|high_contrast|documentary_style|warm_mood|tilt_vertical|rule_of_thirds|narrative_style|warm_tone,2,0.0
analysis.style_tags,very_fast|medium_shot|medium_contrast|documentary_style|warm_mood|tilt_vertical|rule_of_thirds|narrative_style|warm_tone,2,0.0
